director_name,duration,gross,genre,movie_title,language,country,budget,imdb_score,,,,,,,,,,,,,,,,,,,,,,
Brett Ratner,97,28328132,Action,After the Sunset ,English,USA,58000000,6.3,,,,,,,,,,,,,,,,,,,,,,
Mark Neveldine,96,51774002,Action,Ghost Rider: Spirit of Vengeance ,English,USA,57000000,4.3,,,,,,,,,,,,,,,,,,,,,,
John Madden,131,25528495,Drama,Captain Corelli's Mandolin ,English,UK,57000000,5.9,,,,,,,,,,,,,,,,,,,,,,
Adam Shankman,95,113006880,Action,The Pacifier ,English,Canada,56000000,5.5,,,,,,,,,,,,,,,,,,,,,,
Kevin Bray,86,45860039,Action,Walking Tall ,English,USA,56000000,6.2,,,,,,,,,,,,,,,,,,,,,,
Robert Zemeckis,142,329691196,Comedy,Forrest Gump ,English,USA,55000000,8.8,,,,,,,,,,,,,,,,,,,,,,
Tim Hill,92,217326336,Animation,Alvin and the Chipmunks ,English,USA,60000000,5.2,,,,,,,,,,,,,,,,,,,,,,
Jay Roach,108,166225040,Comedy,Meet the Parents ,English,USA,55000000,7,,,,,,,,,,,,,,,,,,,,,,
Mike Gabriel,84,141600000,Adventure,Pocahontas ,English,USA,55000000,6.6,,,,,,,,,,,,,,,,,,,,,,
Richard Donner,188,134218018,Action,Superman ,English,USA,55000000,7.3,,,,,,,,,,,,,,,,,,,,,,
Tom Shadyac,95,128769345,Comedy,The Nutty Professor ,English,USA,54000000,5.6,,,,,,,,,,,,,,,,,,,,,,
Andy Tennant,118,177575142,Comedy,Hitch ,English,USA,70000000,6.6,,,,,,,,,,,,,,,,,,,,,,
Sam Weisman,92,105263257,Action,George of the Jungle ,English,USA,55000000,5.4,,,,,,,,,,,,,,,,,,,,,,
Jesse Dylan,74,104354205,Comedy,American Wedding ,English,USA,55000000,6.3,,,,,,,,,,,,,,,,,,,,,,
Paul Greengrass,134,107100855,Biography,Captain Phillips ,English,USA,55000000,7.9,,,,,,,,,,,,,,,,,,,,,,
Shawn Levy,101,98711404,Comedy,Date Night ,English,USA,55000000,6.3,,,,,,,,,,,,,,,,,,,,,,
Brad Silberling,100,100328194,Comedy,Casper ,English,USA,50000000,6,,,,,,,,,,,,,,,,,,,,,,
Antoine Fuqua,132,101530738,Action,The Equalizer ,English,USA,55000000,7.2,,,,,,,,,,,,,,,,,,,,,,
Wayne Wang,105,93815117,Comedy,Maid in Manhattan ,English,USA,55000000,5.1,,,,,,,,,,,,,,,,,,,,,,
Tony Scott,123,91400000,Action,Crimson Tide ,English,USA,53000000,7.3,,,,,,,,,,,,,,,,,,,,,,
Gabriele Muccino,117,162586036,Biography,The Pursuit of Happyness ,English,USA,55000000,8,,,,,,,,,,,,,,,,,,,,,,
Robert Schwentke,98,89706988,Drama,Flightplan ,English,USA,55000000,6.2,,,,,,,,,,,,,,,,,,,,,,
Barry Levinson,128,83000000,Drama,Disclosure ,English,USA,55000000,6,,,,,,,,,,,,,,,,,,,,,,
Brad Silberling,114,78745923,Drama,City of Angels ,English,Germany,55000000,6.7,,,,,,,,,,,,,,,,,,,,,,
Quentin Tarantino,111,70098138,Action,Kill Bill: Vol. 1 ,English,USA,30000000,8.1,,,,,,,,,,,,,,,,,,,,,,
Frank Oz,85,66365290,Comedy,Bowfinger ,English,USA,55000000,6.4,,,,,,,,,,,,,,,,,,,,,,
Quentin Tarantino,137,66207920,Action,Kill Bill: Vol. 2 ,English,USA,30000000,8,,,,,,,,,,,,,,,,,,,,,,
Andrey Konchalovskiy,97,63408614,Action,Tango & Cash ,English,USA,55000000,6.3,,,,,,,,,,,,,,,,,,,,,,
Robert Zemeckis,104,58422650,Comedy,Death Becomes Her ,English,USA,55000000,6.4,,,,,,,,,,,,,,,,,,,,,,
Tom Dey,110,56932305,Action,Shanghai Noon ,English,USA,55000000,6.6,,,,,,,,,,,,,,,,,,,,,,
Stuart Baird,133,68750000,Action,Executive Decision ,English,USA,55000000,6.4,,,,,,,,,,,,,,,,,,,,,,
Mark Waters,94,68218041,Comedy,Mr. Popper's Penguins ,English,USA,55000000,6,,,,,,,,,,,,,,,,,,,,,,
Rob Minkoff,104,25040293,Action,The Forbidden Kingdom ,English,USA,55000000,6.6,,,,,,,,,,,,,,,,,,,,,,
Jimmy Hayward,91,55747724,Adventure,Free Birds ,English,USA,55000000,5.9,,,,,,,,,,,,,,,,,,,,,,
David Fincher,145,55473600,Action,Alien 3 ,English,USA,50000000,6.4,,,,,,,,,,,,,,,,,,,,,,
Alan Parker,135,49994804,Biography,Evita ,English,USA,55000000,6.3,,,,,,,,,,,,,,,,,,,,,,
John Frankenheimer,122,41609593,Action,Ronin ,English,UK,55000000,7.3,,,,,,,,,,,,,,,,,,,,,,
Stephen Hopkins,110,38553833,Adventure,The Ghost and the Darkness ,English,USA,55000000,6.8,,,,,,,,,,,,,,,,,,,,,,
Paul King,95,76137505,Animation,Paddington ,English,UK,55000000,7.2,,,,,,,,,,,,,,,,,,,,,,
Akiva Schaffer,102,34350553,Action,The Watch ,English,USA,68000000,5.7,,,,,,,,,,,,,,,,,,,,,,
William Friedkin,94,34238611,Action,The Hunted ,English,USA,55000000,6,,,,,,,,,,,,,,,,,,,,,,
Jon Turteltaub,126,34098563,Drama,Instinct ,English,USA,55000000,6.5,,,,,,,,,,,,,,,,,,,,,,
Bobby Farrelly,118,33828318,Comedy,Stuck on You ,English,USA,55000000,5.8,,,,,,,,,,,,,,,,,,,,,,
Kent Alterman,99,33472850,Comedy,Semi-Pro ,English,USA,55000000,5.8,,,,,,,,,,,,,,,,,,,,,,
Peter Lord,88,31051126,Adventure,The Pirates! Band of Misfits ,English,UK,55000000,6.7,,,,,,,,,,,,,,,,,,,,,,
Clint Eastwood,141,35707327,Crime,Changeling ,English,USA,55000000,7.8,,,,,,,,,,,,,,,,,,,,,,
Andrew Davis,107,20550712,Action,Chain Reaction ,English,USA,50000000,5.6,,,,,,,,,,,,,,,,,,,,,,
Tony Scott,116,18573791,Action,The Fan ,English,USA,55000000,5.8,,,,,,,,,,,,,,,,,,,,,,
Joel Schumacher,143,51225796,Drama,The Phantom of the Opera ,English,UK,70000000,7.4,,,,,,,,,,,,,,,,,,,,,,
Shekhar Kapur,114,16264475,Biography,Elizabeth: The Golden Age ,English,UK,55000000,6.9,,,,,,,,,,,,,,,,,,,,,,
Karyn Kusama,93,25857987,Action,Æon Flux ,English,USA,62000000,5.5,,,,,,,,,,,,,,,,,,,,,,
Ron Maxwell,280,12870569,Drama,Gods and Generals ,English,USA,56000000,6.3,,,,,,,,,,,,,,,,,,,,,,
Robert Butler,100,11466088,Action,Turbulence ,English,USA,71000000,4.7,,,,,,,,,,,,,,,,,,,,,,
Karey Kirkpatrick,107,16088610,Comedy,Imagine That ,English,USA,55000000,5.6,,,,,,,,,,,,,,,,,,,,,,
James Bobin,119,51178893,Adventure,Muppets Most Wanted ,English,USA,50000000,6.4,,,,,,,,,,,,,,,,,,,,,,
Jonathan Frakes,95,6768055,Action,Thunderbirds ,English,UK,57000000,4.2,,,,,,,,,,,,,,,,,,,,,,
Steve Antin,119,39440655,Drama,Burlesque ,English,USA,55000000,6.4,,,,,,,,,,,,,,,,,,,,,,
Jean-Pierre Jeunet,133,6167817,Drama,A Very Long Engagement ,French,France,47000000,7.7,,,,,,,,,,,,,,,,,,,,,,
Guillermo del Toro,117,81645152,Action,Blade II ,English,USA,54000000,6.7,,,,,,,,,,,,,,,,,,,,,,
Gabriele Muccino,123,69951824,Drama,Seven Pounds ,English,USA,55000000,7.7,,,,,,,,,,,,,,,,,,,,,,
Walter Hill,92,9483821,Action,Bullet to the Head ,English,USA,55000000,5.7,,,,,,,,,,,,,,,,,,,,,,
Francis Ford Coppola,170,66676062,Crime,The Godfather: Part III ,English,USA,54000000,7.6,,,,,,,,,,,,,,,,,,,,,,
Cameron Crowe,123,26838389,Comedy,Elizabethtown ,English,USA,57000000,6.4,,,,,,,,,,,,,,,,,,,,,,
Anthony Russo,110,75604320,Comedy,"You, Me and Dupree ",English,USA,54000000,5.6,,,,,,,,,,,,,,,,,,,,,,
Richard Lester,116,108200000,Action,Superman II ,English,USA,54000000,6.8,,,,,,,,,,,,,,,,,,,,,,
Martin Brest,121,5660084,Comedy,Gigli ,English,USA,54000000,2.4,,,,,,,,,,,,,,,,,,,,,,
Steven Zaillian,128,7221458,Drama,All the King's Men ,English,Germany,55000000,6.2,,,,,,,,,,,,,,,,,,,,,,
John Singleton,99,70327868,Action,Shaft ,English,Germany,46000000,5.9,,,,,,,,,,,,,,,,,,,,,,
Don Bluth,94,58297830,Adventure,Anastasia ,English,USA,50000000,7.1,,,,,,,,,,,,,,,,,,,,,,
Baz Luhrmann,127,57386369,Drama,Moulin Rouge! ,English,USA,52500000,7.6,,,,,,,,,,,,,,,,,,,,,,
Harold Becker,89,45207112,Crime,Domestic Disturbance ,English,USA,53000000,5.5,,,,,,,,,,,,,,,,,,,,,,
Scott Cooper,123,62563543,Biography,Black Mass ,English,USA,53000000,7,,,,,,,,,,,,,,,,,,,,,,
Clint Eastwood,135,33574332,Drama,Flags of Our Fathers ,English,USA,90000000,7.1,,,,,,,,,,,,,,,,,,,,,,
F. Gary Gray,118,73343413,Crime,Law Abiding Citizen ,English,USA,50000000,7.4,,,,,,,,,,,,,,,,,,,,,,
Robert Rodriguez,189,25031037,Action,Grindhouse ,English,USA,53000000,7.6,,,,,,,,,,,,,,,,,,,,,,
Jonathan Demme,172,22843047,Drama,Beloved ,English,USA,55000000,5.9,,,,,,,,,,,,,,,,,,,,,,
Curtis Hanson,124,5755286,Drama,Lucky You ,English,USA,55000000,5.9,,,,,,,,,,,,,,,,,,,,,,
Steven Spielberg,141,164435221,Biography,Catch Me If You Can ,English,USA,52000000,8,,,,,,,,,,,,,,,,,,,,,,
Kathryn Bigelow,157,95720716,Drama,Zero Dark Thirty ,English,USA,40000000,7.4,,,,,,,,,,,,,,,,,,,,,,
Peyton Reed,106,118683135,Comedy,The Break-Up ,English,USA,52000000,5.8,,,,,,,,,,,,,,,,,,,,,,
Phyllida Lloyd,108,143704210,Comedy,Mamma Mia! ,English,USA,52000000,6.3,,,,,,,,,,,,,,,,,,,,,,
Garry Marshall,125,110476776,Comedy,Valentine's Day ,English,USA,52000000,5.7,,,,,,,,,,,,,,,,,,,,,,
Jay Chandrasekhar,107,80270227,Action,The Dukes of Hazzard ,English,USA,50000000,5.1,,,,,,,,,,,,,,,,,,,,,,
Terrence Malick,215,36385763,Drama,The Thin Red Line ,English,USA,52000000,7.6,,,,,,,,,,,,,,,,,,,,,,
David Dobkin,118,37035845,Comedy,The Change-Up ,English,USA,52000000,6.4,,,,,,,,,,,,,,,,,,,,,,
Milos Forman,118,34580635,Biography,Man on the Moon ,English,UK,52000000,7.4,,,,,,,,,,,,,,,,,,,,,,
Martin Scorsese,178,42438300,Biography,Casino ,English,USA,52000000,8.2,,,,,,,,,,,,,,,,,,,,,,
Pierre Morel,92,23324666,Action,From Paris with Love ,English,France,52000000,6.5,,,,,,,,,,,,,,,,,,,,,,
Paul Hunter,104,23020488,Action,Bulletproof Monk ,English,USA,52000000,5.5,,,,,,,,,,,,,,,,,,,,,,
Bobby Farrelly,116,90567722,Comedy,"Me, Myself & Irene ",English,USA,51000000,6.5,,,,,,,,,,,,,,,,,,,,,,
Steve Oedekerk,90,72601713,Animation,Barnyard ,English,Germany,51000000,5.6,,,,,,,,,,,,,,,,,,,,,,
Chris Weitz,130,296623634,Adventure,The Twilight Saga: New Moon ,English,USA,50000000,4.6,,,,,,,,,,,,,,,,,,,,,,
Andrew Adamson,90,267652016,Adventure,Shrek ,English,USA,60000000,7.9,,,,,,,,,,,,,,,,,,,,,,
George Nolfi,106,62453315,Romance,The Adjustment Bureau ,English,USA,50200000,7.1,,,,,,,,,,,,,,,,,,,,,,
Kevin Reynolds,155,165500000,Action,Robin Hood: Prince of Thieves ,English,USA,48000000,6.9,,,,,,,,,,,,,,,,,,,,,,
Cameron Crowe,139,153620822,Comedy,Jerry Maguire ,English,USA,50000000,7.3,,,,,,,,,,,,,,,,,,,,,,
Seth MacFarlane,112,218628680,Comedy,Ted ,English,USA,50000000,7,,,,,,,,,,,,,,,,,,,,,,
James L. Brooks,139,147637474,Comedy,As Good as It Gets ,English,USA,50000000,7.7,,,,,,,,,,,,,,,,,,,,,,
Tom Shadyac,115,135014968,Biography,Patch Adams ,English,USA,50000000,6.7,,,,,,,,,,,,,,,,,,,,,,
Adam McKay,143,2175312,Comedy,Anchorman 2: The Legend Continues ,English,USA,50000000,6.3,,,,,,,,,,,,,,,,,,,,,,
Steven Brill,96,126203320,Comedy,Mr. Deeds ,English,USA,50000000,5.8,,,,,,,,,,,,,,,,,,,,,,
J.J. Abrams,112,126975169,Mystery,Super 8 ,English,USA,50000000,7.1,,,,,,,,,,,,,,,,,,,,,,
Steven Soderbergh,131,125548685,Biography,Erin Brockovich ,English,USA,52000000,7.3,,,,,,,,,,,,,,,,,,,,,,
Donald Petrie,116,105807520,Comedy,How to Lose a Guy in 10 Days ,English,USA,50000000,6.4,,,,,,,,,,,,,,,,,,,,,,
Phil Lord,112,191616238,Action,22 Jump Street ,English,USA,50000000,7.1,,,,,,,,,,,,,,,,,,,,,,
Neil Jordan,123,105264608,Drama,Interview with the Vampire: The Vampire Chronicles ,English,USA,60000000,7.6,,,,,,,,,,,,,,,,,,,,,,
Peyton Reed,104,97680195,Comedy,Yes Man ,English,USA,70000000,6.8,,,,,,,,,,,,,,,,,,,,,,
Rawson Marshall Thurber,107,126088877,Action,Central Intelligence ,English,USA,50000000,6.6,,,,,,,,,,,,,,,,,,,,,,
Chris Columbus,124,91030827,Comedy,Stepmom ,English,USA,50000000,6.7,,,,,,,,,,,,,,,,,,,,,,
Sean Anders,96,150315155,Comedy,Daddy's Home ,English,USA,50000000,6.1,,,,,,,,,,,,,,,,,,,,,,
Rob Marshall,125,127997349,Adventure,Into the Woods ,English,USA,50000000,6,,,,,,,,,,,,,,,,,,,,,,
Spike Lee,129,88504640,Crime,Inside Man ,English,USA,45000000,7.6,,,,,,,,,,,,,,,,,,,,,,
Brian Helgeland,90,81517441,Action,Payback ,English,USA,50000000,7.1,,,,,,,,,,,,,,,,,,,,,,
Frank Marshall,109,81022333,Action,Congo ,English,USA,50000000,5,,,,,,,,,,,,,,,,,,,,,,
Alex Proyas,121,79948113,Drama,Knowing ,English,USA,50000000,6.2,,,,,,,,,,,,,,,,,,,,,,
Tom Dey,95,88658172,Comedy,Failure to Launch ,English,USA,50000000,5.6,,,,,,,,,,,,,,,,,,,,,,
Glenn Ficarra,118,84244877,Comedy,"Crazy, Stupid, Love. ",English,USA,50000000,7.4,,,,,,,,,,,,,,,,,,,,,,
Peter Hewitt,80,75367693,Animation,Garfield ,English,USA,35000000,5,,,,,,,,,,,,,,,,,,,,,,
Joe Roth,99,73701902,Comedy,Christmas with the Kranks ,English,USA,60000000,5.2,,,,,,,,,,,,,,,,,,,,,,
Bennett Miller,133,75605492,Biography,Moneyball ,English,USA,50000000,7.6,,,,,,,,,,,,,,,,,,,,,,
Wolfgang Petersen,127,67823573,Action,Outbreak ,English,USA,50000000,6.6,,,,,,,,,,,,,,,,,,,,,,
Jaume Collet-Serra,106,91439400,Action,Non-Stop ,English,UK,50000000,7,,,,,,,,,,,,,,,,,,,,,,
Andy Fickman,98,67128202,Action,Race to Witch Mountain ,English,USA,65000000,5.7,,,,,,,,,,,,,,,,,,,,,,
James McTeigue,132,70496802,Action,V for Vendetta ,English,USA,54000000,8.2,,,,,,,,,,,,,,,,,,,,,,
David Dobkin,114,60470220,Action,Shanghai Knights ,English,USA,50000000,6.2,,,,,,,,,,,,,,,,,,,,,,
Matthew O'Callaghan,78,58336565,Adventure,Curious George ,English,USA,50000000,6.6,,,,,,,,,,,,,,,,,,,,,,
Angela Robinson,101,66002004,Adventure,Herbie Fully Loaded ,English,USA,50000000,4.7,,,,,,,,,,,,,,,,,,,,,,
Gary Fleder,113,54997476,Crime,Don't Say a Word ,English,USA,50000000,6.3,,,,,,,,,,,,,,,,,,,,,,
Tommy Wirkola,98,55682070,Action,Hansel & Gretel: Witch Hunters ,English,Germany,50000000,6.1,,,,,,,,,,,,,,,,,,,,,,
Adrian Lyne,124,52752475,Drama,Unfaithful ,English,USA,50000000,6.7,,,,,,,,,,,,,,,,,,,,,,
D.J. Caruso,109,55092830,Action,I Am Number Four ,English,USA,60000000,6.1,,,,,,,,,,,,,,,,,,,,,,
Stephen Gaghan,128,50815288,Drama,Syriana ,English,USA,50000000,7,,,,,,,,,,,,,,,,,,,,,,
Michael Bay,144,52822418,Action,13 Hours ,English,USA,50000000,7.4,,,,,,,,,,,,,,,,,,,,,,
Jorge R. Gutiérrez,95,50150619,Adventure,The Book of Life ,English,USA,50000000,7.3,,,,,,,,,,,,,,,,,,,,,,
Richard Loncraine,105,48745150,Crime,Firewall ,English,USA,50000000,5.8,,,,,,,,,,,,,,,,,,,,,,
Clint Eastwood,121,50007168,Action,Absolute Power ,English,USA,50000000,6.7,,,,,,,,,,,,,,,,,,,,,,
Ridley Scott,125,48154732,Action,G.I. Jane ,English,USA,50000000,5.8,,,,,,,,,,,,,,,,,,,,,,
David Fincher,129,48265581,Drama,The Game ,English,USA,50000000,7.8,,,,,,,,,,,,,,,,,,,,,,
Christophe Gans,132,46982632,Adventure,Silent Hill ,English,Canada,50000000,6.6,,,,,,,,,,,,,,,,,,,,,,
Howard Deutch,118,44737059,Comedy,The Replacements ,English,USA,50000000,6.5,,,,,,,,,,,,,,,,,,,,,,
Jon Hurwitz,113,56724080,Comedy,American Reunion ,English,USA,50000000,6.7,,,,,,,,,,,,,,,,,,,,,,
F. Gary Gray,140,44484065,Action,The Negotiator ,English,Germany,50000000,7.3,,,,,,,,,,,,,,,,,,,,,,
Steven Quale,89,47553512,Action,Into the Storm ,English,USA,50000000,5.8,,,,,,,,,,,,,,,,,,,,,,
John Landis,104,42610000,Action,Beverly Hills Cop III ,English,USA,55000000,5.5,,,,,,,,,,,,,,,,,,,,,,
Joe Dante,106,41482207,Comedy,Gremlins 2: The New Batch ,English,USA,50000000,6.3,,,,,,,,,,,,,,,,,,,,,,
David Dobkin,141,47105085,Crime,The Judge ,English,USA,50000000,7.4,,,,,,,,,,,,,,,,,,,,,,
Mimi Leder,124,41256277,Action,The Peacemaker ,English,USA,50000000,5.9,,,,,,,,,,,,,,,,,,,,,,
Alexander Witt,98,50740078,Action,Resident Evil: Apocalypse ,English,Germany,45000000,6.2,,,,,,,,,,,,,,,,,,,,,,
Beeban Kidron,108,40203020,Comedy,Bridget Jones: The Edge of Reason ,English,UK,40000000,5.9,,,,,,,,,,,,,,,,,,,,,,
Carl Franklin,114,40905277,Crime,Out of Time ,English,USA,50000000,6.5,,,,,,,,,,,,,,,,,,,,,,
Steven Seagal,101,38590500,Action,On Deadly Ground ,English,USA,50000000,4.4,,,,,,,,,,,,,,,,,,,,,,
Robert Rodriguez,93,39177541,Action,The Adventures of Sharkboy and Lavagirl 3-D ,English,USA,50000000,3.5,,,,,,,,,,,,,,,,,,,,,,
Danny Boyle,119,39778599,Adventure,The Beach ,English,USA,50000000,6.6,,,,,,,,,,,,,,,,,,,,,,
Garry Marshall,119,37486138,Comedy,Raising Helen ,English,USA,50000000,6,,,,,,,,,,,,,,,,,,,,,,
James McTeigue,99,38105077,Action,Ninja Assassin ,English,USA,40000000,6.4,,,,,,,,,,,,,,,,,,,,,,
Sam Raimi,137,35168395,Drama,For Love of the Game ,English,USA,50000000,6.5,,,,,,,,,,,,,,,,,,,,,,
Andrew Bergman,117,32800000,Comedy,Striptease ,English,USA,40000000,4.3,,,,,,,,,,,,,,,,,,,,,,
Tom Dey,87,33643461,Comedy,Marmaduke ,English,USA,50000000,4.2,,,,,,,,,,,,,,,,,,,,,,
Clint Eastwood,129,32741596,Drama,Hereafter ,English,USA,50000000,6.5,,,,,,,,,,,,,,,,,,,,,,
Barbet Schroeder,115,31874869,Crime,Murder by Numbers ,English,USA,50000000,6.1,,,,,,,,,,,,,,,,,,,,,,
Richard Donner,132,30306268,Action,Assassins ,English,France,50000000,6.3,,,,,,,,,,,,,,,,,,,,,,
Peter Webber,131,27667947,Crime,Hannibal Rising ,English,UK,50000000,6.2,,,,,,,,,,,,,,,,,,,,,,
Rob Reiner,95,27067160,Comedy,The Story of Us ,English,USA,50000000,5.9,,,,,,,,,,,,,,,,,,,,,,
Andrew Niccol,125,26616999,Action,The Host ,English,USA,40000000,5.9,,,,,,,,,,,,,,,,,,,,,,
John McTiernan,98,26536120,Action,Basic ,English,Germany,50000000,6.5,,,,,,,,,,,,,,,,,,,,,,
Clint Eastwood,110,26199517,Action,Blood Work ,English,USA,50000000,6.4,,,,,,,,,,,,,,,,,,,,,,
Tom Tykwer,118,25450527,Action,The International ,English,USA,50000000,6.5,,,,,,,,,,,,,,,,,,,,,,
John Carpenter,101,25407250,Action,Escape from L.A. ,English,USA,50000000,5.7,,,,,,,,,,,,,,,,,,,,,,
Brad Bird,90,23159305,Action,The Iron Giant ,English,USA,70000000,8,,,,,,,,,,,,,,,,,,,,,,
Wes Anderson,119,24006726,Adventure,The Life Aquatic with Steve Zissou ,English,USA,50000000,7.3,,,,,,,,,,,,,,,,,,,,,,
Gary Ross,139,20389967,Action,Free State of Jones ,English,USA,50000000,6.7,,,,,,,,,,,,,,,,,,,,,,
Alan Parker,130,19593740,Crime,The Life of David Gale ,English,USA,50000000,7.5,,,,,,,,,,,,,,,,,,,,,,
Stephen Herek,100,19118247,Action,Man of the House ,English,USA,40000000,5.4,,,,,,,,,,,,,,,,,,,,,,
Jaume Collet-Serra,114,26442251,Action,Run All Night ,English,USA,50000000,6.6,,,,,,,,,,,,,,,,,,,,,,
David Cronenberg,96,17114882,Crime,Eastern Promises ,English,USA,25000000,7.7,,,,,,,,,,,,,,,,,,,,,,
John Stockwell,110,18472363,Action,Into the Blue ,English,USA,50000000,5.8,,,,,,,,,,,,,,,,,,,,,,
Luc Besson,158,14131298,Adventure,The Messenger: The Story of Joan of Arc ,English,France,390000000,6.4,,,,,,,,,,,,,,,,,,,,,,
David Gordon Green,102,21557240,Adventure,Your Highness ,English,USA,49900000,5.6,,,,,,,,,,,,,,,,,,,,,,
Jim Sheridan,84,21283440,Drama,Dream House ,English,USA,55000000,6,,,,,,,,,,,,,,,,,,,,,,
Costa-Gavras,115,10556196,Crime,Mad City ,English,USA,50000000,6.2,,,,,,,,,,,,,,,,,,,,,,
Patrick Read Johnson,99,16671505,Adventure,Baby's Day Out ,English,USA,50000000,5.9,,,,,,,,,,,,,,,,,,,,,,
Roland Joffé,135,10400000,Drama,The Scarlet Letter ,English,USA,50000000,5.1,,,,,,,,,,,,,,,,,,,,,,
Doug Liman,108,9528092,Biography,Fair Game ,English,USA,22000000,6.8,,,,,,,,,,,,,,,,,,,,,,
Tony Scott,127,10137232,Action,Domino ,English,France,50000000,6,,,,,,,,,,,,,,,,,,,,,,
William Friedkin,107,9795017,Crime,Jade ,English,USA,50000000,5.1,,,,,,,,,,,,,,,,,,,,,,
Mark Neveldine,95,20488579,Action,Gamer ,English,USA,50000000,5.8,,,,,,,,,,,,,,,,,,,,,,
Richard LaGravenese,124,19445217,Drama,Beautiful Creatures ,English,USA,60000000,6.2,,,,,,,,,,,,,,,,,,,,,,
Danny DeVito,109,8355815,Comedy,Death to Smoochy ,English,UK,55000000,6.4,,,,,,,,,,,,,,,,,,,,,,
Ben Stiller,102,28837115,Comedy,Zoolander 2 ,English,USA,50000000,4.8,,,,,,,,,,,,,,,,,,,,,,
George Armitage,88,6471394,Comedy,The Big Bounce ,English,USA,50000000,4.9,,,,,,,,,,,,,,,,,,,,,,
Mike Nichols,87,6291602,Comedy,What Planet Are You From? ,English,USA,50000000,5.6,,,,,,,,,,,,,,,,,,,,,,
Patrick Lussier,104,10706786,Action,Drive Angry ,English,USA,50000000,5.5,,,,,,,,,,,,,,,,,,,,,,
Andrzej Bartkowiak,96,8742261,Action,Street Fighter: The Legend of Chun-Li ,English,Canada,18000000,3.7,,,,,,,,,,,,,,,,,,,,,,
James Wong,85,43905746,Action,The One ,English,USA,49000000,5.9,,,,,,,,,,,,,,,,,,,,,,
Renny Harlin,104,21413502,Action,The Adventures of Ford Fairlane ,English,USA,40000000,6.3,,,,,,,,,,,,,,,,,,,,,,
Steven Soderbergh,190,124107476,Crime,Traffic ,English,USA,48000000,7.6,,,,,,,,,,,,,,,,,,,,,,
Steven Spielberg,127,197171806,Action,Indiana Jones and the Last Crusade ,English,USA,48000000,8.3,,,,,,,,,,,,,,,,,,,,,,
Neill Blomkamp,120,31569268,Action,Chappie ,English,USA,49000000,6.9,,,,,,,,,,,,,,,,,,,,,,
Phillip Noyce,118,66488090,Crime,The Bone Collector ,English,USA,48000000,6.7,,,,,,,,,,,,,,,,,,,,,,
David Fincher,112,95308367,Crime,Panic Room ,English,USA,48000000,6.8,,,,,,,,,,,,,,,,,,,,,,
David O. Russell,114,60652036,Action,Three Kings ,English,USA,48000000,7.1,,,,,,,,,,,,,,,,,,,,,,
Daniel Espinosa,137,1206135,Crime,Child 44 ,English,Czech Republic,50000000,6.4,,,,,,,,,,,,,,,,,,,,,,
Jerry Zucker,112,56607223,Adventure,Rat Race ,English,Canada,48000000,6.4,,,,,,,,,,,,,,,,,,,,,,
Iain Softley,120,50173190,Drama,K-PAX ,English,USA,48000000,7.4,,,,,,,,,,,,,,,,,,,,,,
James Mangold,123,47095453,Comedy,Kate & Leopold ,English,USA,48000000,6.4,,,,,,,,,,,,,,,,,,,,,,
Harold Ramis,93,37879996,Comedy,Bedazzled ,English,USA,48000000,6,,,,,,,,,,,,,,,,,,,,,,
Francis Ford Coppola,123,25900000,Crime,The Cotton Club ,English,USA,58000000,6.5,,,,,,,,,,,,,,,,,,,,,,
James Mangold,122,53574088,Adventure,3:10 to Yuma ,English,USA,55000000,7.8,,,,,,,,,,,,,,,,,,,,,,
Olivier Megaton,115,89253340,Action,Taken 3 ,English,France,48000000,6,,,,,,,,,,,,,,,,,,,,,,
Steven Soderbergh,123,37339525,Crime,Out of Sight ,English,USA,48000000,7,,,,,,,,,,,,,,,,,,,,,,
Ben Stiller,96,60154431,Comedy,The Cable Guy ,English,USA,47000000,6,,,,,,,,,,,,,,,,,,,,,,
Warren Beatty,105,103738726,Action,Dick Tracy ,English,USA,100000000,6.1,,,,,,,,,,,,,,,,,,,,,,
John McTiernan,113,69304264,Crime,The Thomas Crown Affair ,English,USA,48000000,6.8,,,,,,,,,,,,,,,,,,,,,,
Penny Marshall,132,29781453,Biography,Riding in Cars with Boys ,English,USA,48000000,6.4,,,,,,,,,,,,,,,,,,,,,,
Paul Bolger,75,15519841,Adventure,Happily N'Ever After ,English,USA,47000000,4.5,,,,,,,,,,,,,,,,,,,,,,
Stephen Frears,108,5600000,Drama,Mary Reilly ,English,USA,47000000,5.8,,,,,,,,,,,,,,,,,,,,,,
P.J. Hogan,105,126805112,Comedy,My Best Friend's Wedding ,English,USA,46000000,6.3,,,,,,,,,,,,,,,,,,,,,,
Joe Roth,102,93607673,Comedy,America's Sweethearts ,English,USA,48000000,5.7,,,,,,,,,,,,,,,,,,,,,,
Christopher Nolan,118,67263182,Drama,Insomnia ,English,USA,46000000,7.2,,,,,,,,,,,,,,,,,,,,,,
Jonathan Frakes,111,92001027,Action,Star Trek: First Contact ,English,USA,45000000,7.6,,,,,,,,,,,,,,,,,,,,,,
Jimmy Hayward,81,10539414,Action,Jonah Hex ,English,USA,47000000,4.7,,,,,,,,,,,,,,,,,,,,,,
Edward Zwick,116,58918501,Action,Courage Under Fire ,English,USA,46000000,6.6,,,,,,,,,,,,,,,,,,,,,,
